,Nutrient_1,Nutrient_2,Nutrient_3,Nutrient_4,Nutrient_5,Nutrient_6,Nutrient_7,Nutrient_8,Nutrient_9,Nutrient_10,Nutrient_11,Nutrient_12,Nutrient_13,Nutrient_14,Nutrient_15,Nutrient_16,Nutrient_17,Nutrient_18,Nutrient_19,Nutrient_20,Nutrient_21,Nutrient_22,Nutrient_23,Nutrient_24,Nutrient_25,Nutrient_26,Nutrient_27,Nutrient_28,Nutrient_29,Nutrient_30,Nutrient_31,Nutrient_32,Nutrient_33,Nutrient_34,Nutrient_35,Nutrient_36,Nutrient_37,Nutrient_38,Nutrient_39,Nutrient_40,Nutrient_41,Nutrient_42,Nutrient_43,Nutrient_44,Nutrient_45,Nutrient_46,Nutrient_47,Nutrient_48,Nutrient_49,Nutrient_50,Nutrient_51,Nutrient_52,Nutrient_53,Nutrient_54,Nutrient_55,Nutrient_56,Nutrient_57,Nutrient_58,Nutrient_59,Nutrient_60
Food_1,0.007527288518376765,0.005511919437340321,0.009604752712509015,0.006795911793066737,0.004814695437023618,0.00645753892715132,0.0011727387847840017,0.0037141733500709443,0.006941561837434166,0.003610698464893997,0.006562138860989574,0.004858918308511895,0.002219266578002052,0.0036845409336042773,0.0061296841963113845,0.00631785485123356,0.00616892723964621,0.006878807378714203,0.006868929430015201,0.004882765918905766,0.009068919362659567,0.004308056830431069,0.004922784327390642,0.00902731019514105,0.008255745901414773,0.007334997251863298,0.0019020419858107101,0.009275343523702063,0.007428171695942004,0.0099896230591108,0.002345034741921944,0.00881313451631393,0.002462436412087374,0.0065400360785545985,0.0021143798456449737,0.008632074063900111,0.008265870628525098,0.00612190664753134,0.004664649675033997,0.0016225029590962426,0.007276858958301074,0.0050818841441026205,0.007498500395233132,0.008797440933357664,0.009779693545025975,0.0087022300815335,0.0011054267576650178,0.004239802580305275,0.007569915061816523,0.0025446670953529647,0.005689329455837164,0.0014890418950532828,0.002799968724067601,0.0011666961501455258,0.008143279330216788,0.0030153221925434213,0.004108165126272125,0.00935273164119032,0.007339729617311796,0.0012865503657817708
Food_2,0.002482247408481215,0.006593305613497872,0.006195057297437509,0.003141035392370578,0.009407925981323145,0.006525693603693064,0.005820695227224625,0.006309189787191139,0.0075710982656509275,0.0038075049593164173,0.004583989559944827,0.0028885937407760994,0.0026757370529230254,0.009499351509855404,0.007655957155443589,0.005414129277558104,0.0030467316517599095,0.0032892083359335367,0.0015222624429148805,0.004909749630023087,0.0038061629379469233,0.007267091399339136,0.004399766553632329,0.0026164330980367133,0.001222108555521981,0.0016052466831692374,0.0071145349614871066,0.005083271601004408,0.0058292128999785,0.00907004163736308,0.009913050526570339,0.002952072859586266,0.006967703827900908,0.0033699013906343563,0.0011858589951915582,0.007825407884525274,0.003880154357402211,0.0044511750475470825,0.006294854021982452,0.008479436097125714,0.006660836592320339,0.008853855899026559,0.003461878313340722,0.008182421505213075,0.00267072349875357,0.009575124912747503,0.007187394487490339,0.0029395690940220262,0.009526335314400319,0.007577702260931421,0.0032854747833552327,0.0029198077963073377,0.00566380642537597,0.0012309644624907841,0.002867230678969985,0.004822169218763557,0.00436752982300803,0.005172178819283297,0.0034986583566525876,0.00628105911812352
Food_3,0.008774700453309085,0.002057786703658298,0.005656411964387028,0.0021886129571063798,0.007451737130733344,0.004564537325265645,0.006088791806726581,0.0026495185259267076,0.0023036298340903955,0.005392506525840592,0.004200514640649601,0.00946388750727532,0.00788792728426269,0.007737972578654926,0.009133477657713402,0.0017508019189781672,0.005969732229301659,0.00626028462060192,0.009657427406925063,0.00362932774113294,0.0031674590192390215,0.0019026454803894805,0.0011478666663232678,0.009365763851129714,0.007029248919318191,0.00806637620820824,0.003535570951785542,0.006277691495676941,0.0015755973950888303,0.005370648363411607,0.00979745625770002,0.008888547207849318,0.0040434305665316105,0.009654131390873486,0.003085314638240841,0.009543869401741133,0.009472399342358488,0.008192823286171526,0.0066740314318011204,0.008868591699624524,0.0036371825605701707,0.008640491997816264,0.006560890227257715,0.0011191317198300955,0.004125101661389977,0.002333267748533485,0.00983646450836428,0.005305332763359893,0.005476522289487965,0.006755252647588513,0.004317261455166558,0.0022321024451703907,0.008399059598748211,0.002708631207124822,0.005601870842918104,0.0030188532607726536,0.0018806003604463065,0.00875972365679515,0.009756275401208173,0.009647511922567003
Food_4,0.009158999492990611,0.00796642599428775,0.003998306368257778,0.001729912509891971,0.004665170542724266,0.0030901072795384847,0.0021923887128218467,0.0014808446360814274,0.00753034927789521,0.0011028471276252794,0.007935226736524987,0.0023225198086033755,0.0017156987432808018,0.0018064273081474485,0.007048430266185231,0.003208304888675603,0.004784855200120886,0.006016319121915253,0.008744960564459146,0.007543398364401955,0.003432951147148432,0.0021833451936201483,0.0014983688837907816,0.0037143877103284826,0.0033590633431571045,0.005105265101204317,0.007149532019929124,0.007260629010749716,0.0035516696192395,0.004419342603101084,0.0026303586556321278,0.008096909610758669,0.0015116326878991627,0.007272975175524886,0.008008258563469931,0.007996668056638779,0.0033348030791081947,0.004364318241393054,0.006288396716767502,0.0034553971218202035,0.004337675192960999,0.002773488521670757,0.005138702953804067,0.0014015107112870268,0.008198162961135562,0.0016926080228796946,0.005669516339483735,0.0037612908959067655,0.0061978865394823794,0.009634900067500826,0.006810132200104036,0.0013182619217994183,0.0048736219555725515,0.005590151670864253,0.0058255974523310685,0.0071325325954345415,0.003498364879585895,0.002159745089196882,0.00453408108892385,0.009607651505163541
Food_5,0.002684178025757603,0.009135855594354134,0.005894253550695938,0.005112202794811893,0.008938372692069006,0.005127435655917273,0.0075175087295038905,0.004591227895327918,0.00913639953610862,0.007210225181721047,0.007296598488254651,0.003949483614014071,0.0078110077846320035,0.006724549499024272,0.003160182460417386,0.0024448494023673077,0.008167523270655987,0.009632499427317004,0.005123249445340386,0.0063188574879131645,0.008719503797741992,0.005115011080184714,0.009566870291494625,0.006181760458403853,0.008386904086311837,0.009179593465714647,0.00833971436891712,0.0024347301710406035,0.006660085951555305,0.004585908327577094,0.0015644165682101115,0.0048162902670085776,0.0033281566020046697,0.008641344775856598,0.0012997416389202657,0.009630844496771263,0.004198319636247367,0.004210362013622886,0.001146956524153371,0.0026670909271256553,0.004611335507232479,0.009363622755724426,0.001896534371991442,0.009507713801311716,0.00882539677491969,0.005087461572167966,0.003940307935914341,0.003094697163511512,0.00653018235829187,0.0012976713232795507,0.001140454580021454,0.004859161502484141,0.0016126666657724819,0.0032674688942148362,0.0029904482381147546,0.0032787207435056678,0.00217949708093732,0.0011083260060788885,0.002039358674248733,0.006566322335614732
Food_6,0.009768305915362454,0.009913105014048046,0.004681486858357555,0.0024665898344194484,0.0067488558162987645,0.005412748118938635,0.009904687995559883,0.001587737864366022,0.008049109944824318,0.003595586475983446,0.0031727675806891664,0.006962541143794084,0.0032145686649186806,0.00699273205803269,0.005655776654820599,0.004816800895922645,0.005992190277952772,0.003583463679276668,0.007359172356456811,0.0047337118240020765,0.004244910044373031,0.00845791223100164,0.00932470220757873,0.0014140657979856723,0.00309364293546789,0.004136674325433069,0.008334698314332227,0.00986942284878968,0.009720745342033169,0.009144535109949344,0.003669006385576269,0.009928101190730267,0.0032447803695080614,0.00195315539394009,0.009558573499498547,0.003100782299212867,0.007207914385699755,0.0015252072308252979,0.007576381892147287,0.008935481911004559,0.003451932059193663,0.0044115120646968575,0.004368665649888245,0.0077390943178611985,0.0031402651828513497,0.0025466778914287874,0.005043624838189644,0.003740215666395876,0.008552702100327873,0.003139676434140749,0.005521505117403354,0.009483252397281376,0.006705979279701947,0.008805604649162184,0.009461887204192908,0.0077568837569771685,0.007296175542022763,0.009711690099438043,0.009949607106829114,0.005066395144027837
Food_7,0.0016378280036578752,0.00363514628296467,0.002371192351189574,0.0047573773731641065,0.0021816039562593042,0.006437060236187939,0.0044452725324206875,0.00905847295859389,0.00971015204618652,0.0059219641150248005,0.0034734121288083697,0.006330073768856532,0.00907085042401969,0.004660600112521735,0.005968704490227739,0.0034448749084553133,0.005098997345050244,0.004615421818416388,0.0032357211857467396,0.005552797454427776,0.003793427433818303,0.004357313774926728,0.005724733980288379,0.007755355206360889,0.004001567192121478,0.009317428899586873,0.008760866921523123,0.001438212663779757,0.0032827827183114053,0.005015219613932818,0.001941650998682267,0.004136283901301474,0.0076608777305591435,0.007124630330285433,0.006601459857094045,0.007394755624501112,0.002844313182637316,0.004075283033782589,0.007086182340497167,0.008913112867281945,0.005893102484452857,0.00354429685850983,0.0012721173220538434,0.007393031460767921,0.0010709569315759634,0.00435411162838896,0.005774834931065037,0.009299003155904737,0.0018054509052961012,0.0046534808977145535,0.00121881879739142,0.004083498859074313,0.006600079529558155,0.0035116115340573855,0.002887749546900716,0.002041329099943843,0.006194262196183077,0.007257430053142175,0.007047614265362402,0.009539749186484568
Food_8,0.0010243289250415244,0.006824769885046325,0.006403530133878756,0.0062986564897325945,0.009664932878562182,0.0011518450603303573,0.007268341876313052,0.008323107847316772,0.005588264769594258,0.004005683826371283,0.008117561469046644,0.001875186330691822,0.004978320739569328,0.005679571371137545,0.007245607698410928,0.0018179715882916852,0.003049835513840749,0.004692714064211131,0.006609652057181176,0.008982647030956758,0.006569435514172389,0.00220115323841441,0.009825221195085544,0.008846071612799437,0.005524486850307917,0.009301131836169697,0.005872427143814222,0.00930975461100247,0.00846907631743009,0.009714577692648677,0.009278045297003427,0.0013243043568571253,0.00257294803744846,0.004502212093910673,0.009569284275658788,0.0037002602752833663,0.0024442087949884095,0.00897674199477904,0.005017549739348827,0.009170880349188934,0.0024420741968812897,0.0069500576035728965,0.004962373775465427,0.0016883809212725686,0.007268168301872506,0.0032265887998523834,0.0013565397032156597,0.0015394986842461596,0.0015497068336010862,0.009169596617365355,0.00765895526046191,0.009082561214923617,0.007053240801668693,0.005760459361277949,0.0037400172791264047,0.009981660261958063,0.004259701530454504,0.005235840542925186,0.004404206574311157,0.00981574236401913
Food_9,0.0025719254685550525,0.003951892008172718,0.007123137994135015,0.001568868565047676,0.00646524436610387,0.005298818525887745,0.0035559997908589103,0.0031457195283165224,0.005630614689688811,0.004311348224833372,0.005108679021363899,0.004037296435878159,0.009734443242363798,0.002200954885710436,0.0018712355786053678,0.004090525559118245,0.006319242107834422,0.006932588246650255,0.004575310724512379,0.009993501945299542,0.004167036965737383,0.007492660011639573,0.006738244250777136,0.008317484769227147,0.00978603097108438,0.009008142908009862,0.007881057769219378,0.007284236300364616,0.004019483527083097,0.0023291702038603663,0.001563724027538288,0.0031771153378133635,0.004890533330631688,0.005697966462669843,0.007957751986493846,0.009628668307509337,0.0020558843234632996,0.001963037261744124,0.0063072525071219574,0.0077085826655256375,0.008633353423122865,0.0094224887219511,0.009850836180345778,0.0045982152300207335,0.004423016651748159,0.002330278090275452,0.007164409948152035,0.006910857625967534,0.008758563362660867,0.0018753219530887658,0.0054799921704280765,0.006229737367048569,0.0031740133603592657,0.0025212286551624516,0.008736227527776594,0.0015268143001200291,0.005235588135262656,0.0020425060117079674,0.005113528851982307,0.009819660937080785
Food_10,0.004813357181099256,0.008714124257541107,0.002055840077648745,0.0034412686908567775,0.004634134666006011,0.004598309260083977,0.007042451308031379,0.004102463146379569,0.007423901815690148,0.006752682093028533,0.004592450307292958,0.004885841148888874,0.0065307492982928875,0.0016303797113018017,0.008401660645201214,0.006880790450022733,0.007537082179760518,0.005832307009741514,0.001994293998925703,0.0046453205196725494,0.004648362245637005,0.0038893869103889525,0.0012695529241427443,0.007635288183368297,0.0019880601225625064,0.006456773197405767,0.007328957468204942,0.006713076906403254,0.009632280267801777,0.0019296833957662476,0.008804504431946792,0.0012627121136402192,0.005814251694343756,0.004638192561453329,0.005717654743543825,0.004285898893540089,0.002715102234460613,0.001172106077038208,0.005663348324120569,0.008584991764163582,0.004358943601703148,0.0030057743621348222,0.001724788031246597,0.0017677983080683305,0.00299256801663495,0.0019001265482939968,0.0033853572852803387,0.0015953451590525925,0.001590443804889331,0.008706485616605038,0.0024590823463794993,0.0060371416524110325,0.007961099900041277,0.0051076860880516,0.002380319900734112,0.0027963652790810294,0.004896857856530627,0.005754106802606822,0.004144962628436814,0.008033316402111954
